datetime,consumption_MW,temperature_c
2011-01-01 01:00:00,96310,12.95
2011-01-01 02:00:00,92730,12.78
2011-01-01 03:00:00,90110,12.53
2011-01-01 04:00:00,87410,13.35
2011-01-01 05:00:00,86940,8.75
2011-01-01 06:00:00,87110,6.15
2011-01-01 07:00:00,89430,4.45
2011-01-01 08:00:00,92220,3.7
2011-01-01 09:00:00,94300,2.78
2011-01-01 10:00:00,96700,0.65
2011-01-01 11:00:00,101250,-0.65
2011-01-01 12:00:00,105380,-1.1
2011-01-01 13:00:00,107820,-2.15
2011-01-01 14:00:00,108610,-3.35
2011-01-01 15:00:00,107840,-3.88
2011-01-01 16:00:00,109280,-5.65
2011-01-01 17:00:00,111330,-6.15
2011-01-01 18:00:00,119240,-5.65
2011-01-01 19:00:00,126650,-5.65
2011-01-01 20:00:00,127010,-6.75
2011-01-01 21:00:00,126300,-6.73
2011-01-01 22:00:00,125130,-6.75
2011-01-01 23:00:00,122520,-7.25
2011-01-02 00:00:00,117780,-7.85
2011-01-02 01:00:00,111990,-8.35
2011-01-02 02:00:00,106820,-8.35
2011-01-02 03:00:00,103760,-8.63
2011-01-02 04:00:00,102470,-8.95
2011-01-02 05:00:00,101610,-9.45
2011-01-02 06:00:00,102200,-9.45
2011-01-02 07:00:00,103460,-10.05
2011-01-02 08:00:00,106510,-10.05
2011-01-02 09:00:00,107100,-10.03
2011-01-02 10:00:00,108340,-10.05
2011-01-02 11:00:00,109450,-10.65
2011-01-02 12:00:00,110780,-10.65
2011-01-02 13:00:00,111270,-10.05
2011-01-02 14:00:00,111410,-9.45
2011-01-02 15:00:00,110570,-8.63
2011-01-02 16:00:00,109730,-6.75
2011-01-02 17:00:00,110740,-5.65
2011-01-02 18:00:00,119290,-4.45
2011-01-02 19:00:00,128410,-3.95
2011-01-02 20:00:00,129560,-3.95
2011-01-02 21:00:00,128490,-4.18
2011-01-02 22:00:00,126890,-4.45
2011-01-02 23:00:00,122740,-4.45
2011-01-03 00:00:00,116620,-5.05
2011-01-03 01:00:00,108970,-5.05
2011-01-03 02:00:00,104940,-5.05
2011-01-03 03:00:00,102790,-5.03
2011-01-03 04:00:00,101650,-5.05
2011-01-03 05:00:00,101990,-5.05
2011-01-03 06:00:00,104400,-5.65
2011-01-03 07:00:00,110960,-5.65
2011-01-03 08:00:00,121250,-5.65
2011-01-03 09:00:00,126870,-5.63
2011-01-03 10:00:00,126820,-5.05
2011-01-03 11:00:00,127070,-5.05
2011-01-03 12:00:00,126620,-5.05
2011-01-03 13:00:00,125730,-4.45
2011-01-03 14:00:00,125140,-3.35
2011-01-03 15:00:00,124630,-2.53
2011-01-03 16:00:00,125000,0.05
2011-01-03 17:00:00,125940,1.15
2011-01-03 18:00:00,132060,1.75
2011-01-03 19:00:00,138730,2.25
2011-01-03 20:00:00,137120,1.75
2011-01-03 21:00:00,135050,1.73
2011-01-03 22:00:00,131750,1.15
2011-01-03 23:00:00,126130,1.15
2011-01-04 00:00:00,117630,0.65
2011-01-04 01:00:00,109410,0.65
2011-01-04 02:00:00,104260,0.05
2011-01-04 03:00:00,101710,0.03
2011-01-04 04:00:00,100440,0.05
2011-01-04 05:00:00,100650,0.05
2011-01-04 06:00:00,103700,-0.65
2011-01-04 07:00:00,110630,-1.15
2011-01-04 08:00:00,123410,-1.75
2011-01-04 09:00:00,130400,-1.98
2011-01-04 10:00:00,131140,-2.85
2011-01-04 11:00:00,131940,-2.85
2011-01-04 12:00:00,132570,-3.2
2011-01-04 13:00:00,132230,-4.25
2011-01-04 14:00:00,131730,-5.05
2011-01-04 15:00:00,131440,-5.33
2011-01-04 16:00:00,130490,-5.65
2011-01-04 17:00:00,130700,-5.65
2011-01-04 18:00:00,137050,-5.05
2011-01-04 19:00:00,145270,-5.05
2011-01-04 20:00:00,144660,-5.05
2011-01-04 21:00:00,143120,-5.33
2011-01-04 22:00:00,140380,-6.15
2011-01-04 23:00:00,134980,-6.75
2011-01-05 00:00:00,126000,-7.25
2011-01-05 01:00:00,118290,-7.85
2011-01-05 02:00:00,113240,-8.35
2011-01-05 03:00:00,110620,-8.63
2011-01-05 04:00:00,109080,-8.95
2011-01-05 05:00:00,109300,-10.05
2011-01-05 06:00:00,111940,-10.05
2011-01-05 07:00:00,118680,-10.65
2011-01-05 08:00:00,130120,-11.15
2011-01-05 09:00:00,135800,-11.13
2011-01-05 10:00:00,135790,-11.15
2011-01-05 11:00:00,135610,-11.15
2011-01-05 12:00:00,135840,-10.65
2011-01-05 13:00:00,135300,-10.05
2011-01-05 14:00:00,134420,-8.35
2011-01-05 15:00:00,133740,-7.53
2011-01-05 16:00:00,132440,-5.05
2011-01-05 17:00:00,132650,-3.35
2011-01-05 18:00:00,138260,-2.85
2011-01-05 19:00:00,143350,-1.75
2011-01-05 20:00:00,141220,-1.15
2011-01-05 21:00:00,138610,-1.13
2011-01-05 22:00:00,135260,-0.65
2011-01-05 23:00:00,129680,-0.65
2011-01-06 00:00:00,120620,-0.65
2011-01-06 01:00:00,112680,0.05
2011-01-06 02:00:00,107360,0.05
2011-01-06 03:00:00,104180,-0.32
2011-01-06 04:00:00,102520,-0.65
2011-01-06 05:00:00,102540,-1.1
2011-01-06 06:00:00,105220,-1.75
2011-01-06 07:00:00,112210,-2.25
2011-01-06 08:00:00,124100,-2.25
2011-01-06 09:00:00,132360,-2.7
2011-01-06 10:00:00,133490,-2.85
2011-01-06 11:00:00,134400,-3.35
2011-01-06 12:00:00,134260,-3.95
2011-01-06 13:00:00,133770,-4.15
2011-01-06 14:00:00,132470,-3.95
2011-01-06 15:00:00,131120,-3.97
2011-01-06 16:00:00,129650,-3.48
2011-01-06 17:00:00,129930,-2.85
2011-01-06 18:00:00,136070,-2.95
2011-01-06 19:00:00,144200,-1.75
2011-01-06 20:00:00,142960,-2.25
2011-01-06 21:00:00,140990,-2.78
2011-01-06 22:00:00,137710,-4.45
2011-01-06 23:00:00,132530,-4.45
2011-01-07 00:00:00,123880,-5.65
2011-01-07 01:00:00,115820,-5.65
