num_leaves,max_depth,learning_rate,lambda_l1,lambda_l2,min_split_gain,MAPE,Train_RMSE,Valid_RMSE,Overfit_Gap,Best_Iteration,Noise_Importance
15,5,0.05,1.0,0.0,0.0,0.844,1219.4961,1554.6442,335.1481,999,345
15,5,0.05,1.0,0.0,0.01,0.844,1219.4961,1554.6442,335.1481,999,345
15,8,0.05,0.0,1.0,0.0,0.8208,1161.8771,1526.5402,364.6631,1000,363
15,8,0.05,0.0,1.0,0.01,0.8208,1161.8771,1526.5402,364.6631,1000,363
15,5,0.05,0.0,0.0,0.0,0.8443,1218.242,1554.6367,336.3947,1000,363
15,5,0.05,0.0,0.0,0.01,0.8443,1218.242,1554.6367,336.3947,1000,363
15,8,0.05,0.0,0.0,0.0,0.8235,1163.6605,1526.1581,362.4976,1000,373
15,8,0.05,0.0,0.0,0.01,0.8235,1163.6605,1526.1581,362.4976,1000,373
15,8,0.05,1.0,0.0,0.0,0.8257,1167.1518,1526.8303,359.6785,1000,374
15,8,0.05,1.0,0.0,0.01,0.8257,1167.1518,1526.8303,359.6785,1000,374
15,8,0.05,1.0,1.0,0.0,0.8199,1160.6682,1528.4284,367.7602,1000,394
15,8,0.05,1.0,1.0,0.01,0.8199,1160.6682,1528.4284,367.7602,1000,394
15,5,0.05,0.0,1.0,0.0,0.8423,1218.0383,1542.4779,324.4396,1000,413
15,5,0.05,0.0,1.0,0.01,0.8423,1218.0383,1542.4779,324.4396,1000,413
15,5,0.05,1.0,1.0,0.0,0.8423,1218.0404,1542.4782,324.4378,1000,413
15,5,0.05,1.0,1.0,0.01,0.8423,1218.0404,1542.4782,324.4378,1000,413
15,5,0.1,0.0,0.0,0.0,0.8184,1070.0382,1519.984,449.9458,996,667
15,5,0.1,0.0,0.0,0.01,0.8184,1070.0382,1519.984,449.9458,996,667
15,5,0.1,1.0,0.0,0.0,0.8184,1070.0422,1519.9835,449.9413,996,667
15,5,0.1,1.0,0.0,0.01,0.8184,1070.0422,1519.9835,449.9413,996,667
15,8,0.1,0.0,1.0,0.0,0.7927,1005.4053,1504.0228,498.6175,989,674
15,8,0.1,0.0,1.0,0.01,0.7927,1005.4053,1504.0228,498.6175,989,674
15,5,0.1,1.0,1.0,0.0,0.8149,1068.5999,1524.0265,455.4266,1000,675
15,5,0.1,1.0,1.0,0.01,0.8149,1068.5999,1524.0265,455.4266,1000,675
15,8,0.1,1.0,0.0,0.0,0.8002,1005.9478,1492.9152,486.9674,996,686
15,8,0.1,1.0,0.0,0.01,0.8002,1005.9478,1492.9152,486.9674,996,686
15,5,0.1,0.0,1.0,0.0,0.8141,1070.1989,1520.3569,450.158,1000,697
15,5,0.1,0.0,1.0,0.01,0.8141,1070.1989,1520.3569,450.158,1000,697
15,8,0.1,1.0,1.0,0.0,0.795,1008.4764,1505.3536,496.8772,1000,725
15,8,0.1,1.0,1.0,0.01,0.795,1008.4764,1505.3536,496.8772,1000,725
15,8,0.1,0.0,0.0,0.0,0.8023,1009.9189,1495.2104,485.2916,989,734
15,8,0.1,0.0,0.0,0.01,0.8023,1009.9189,1495.2104,485.2916,989,734
31,5,0.1,1.0,0.0,0.0,0.8152,1035.5072,1505.8901,470.3828,655,842
31,5,0.1,1.0,0.0,0.01,0.8152,1035.5072,1505.8901,470.3828,655,842
31,5,0.05,0.0,1.0,0.0,0.8227,1136.0373,1543.1027,407.0654,890,894
31,5,0.05,0.0,1.0,0.01,0.8227,1136.0373,1543.1027,407.0654,890,894
31,5,0.05,1.0,1.0,0.0,0.8173,1122.5561,1535.1054,412.5493,1000,1052
31,5,0.05,1.0,1.0,0.01,0.8173,1122.5561,1535.1054,412.5493,1000,1052
31,5,0.05,1.0,0.0,0.0,0.8121,1101.3788,1518.1047,416.726,999,1072
31,5,0.05,1.0,0.0,0.01,0.8121,1101.3788,1518.1047,416.726,999,1072
31,5,0.05,0.0,0.0,0.0,0.8146,1103.4764,1516.6609,413.1845,1000,1088
31,5,0.05,0.0,0.0,0.01,0.8146,1103.4764,1516.6609,413.1845,1000,1088
31,5,0.1,0.0,0.0,0.0,0.8009,969.5946,1489.5419,519.9474,872,1277
31,5,0.1,0.0,0.0,0.01,0.8009,969.5946,1489.5419,519.9474,872,1277
31,5,0.1,0.0,1.0,0.0,0.7981,959.7302,1500.8276,541.0973,968,1486
31,5,0.1,0.0,1.0,0.01,0.7981,959.7302,1500.8276,541.0973,968,1486
31,5,0.1,1.0,1.0,0.0,0.794,958.202,1492.87,534.668,999,1517
31,5,0.1,1.0,1.0,0.01,0.794,958.202,1492.87,534.668,999,1517
31,8,0.05,0.0,1.0,0.0,0.7894,986.7551,1480.2772,493.5221,999,1598
31,8,0.05,0.0,1.0,0.01,0.7894,986.7551,1480.2772,493.5221,999,1598
31,8,0.05,1.0,1.0,0.0,0.7924,989.578,1483.043,493.465,998,1605
31,8,0.05,1.0,1.0,0.01,0.7924,989.578,1483.043,493.465,998,1605
31,8,0.05,1.0,0.0,0.0,0.7951,995.1842,1498.1073,502.9231,999,1631
31,8,0.05,1.0,0.0,0.01,0.7951,995.1842,1498.1073,502.9231,999,1631
31,8,0.05,0.0,0.0,0.0,0.7926,991.8615,1494.4855,502.6239,998,1663
31,8,0.05,0.0,0.0,0.01,0.7926,991.8615,1494.4855,502.6239,998,1663
31,8,0.1,0.0,0.0,0.0,0.7866,839.6258,1484.3483,644.7225,851,1953
31,8,0.1,0.0,0.0,0.01,0.7866,839.6258,1484.3483,644.7225,851,1953
31,8,0.1,1.0,0.0,0.0,0.7848,815.4328,1477.8214,662.3886,947,2234
31,8,0.1,1.0,0.0,0.01,0.7848,815.4328,1477.8214,662.3886,947,2234
31,8,0.1,1.0,1.0,0.0,0.7871,821.3654,1487.0094,665.644,940,2241
31,8,0.1,1.0,1.0,0.01,0.7871,821.3654,1487.0094,665.644,940,2241
31,8,0.1,0.0,1.0,0.0,0.7795,808.4332,1482.4753,674.0421,1000,2430
31,8,0.1,0.0,1.0,0.01,0.7795,808.4332,1482.4753,674.0421,1000,2430
