Timestamp,True Consumption (MW),Predicted Consumption (MW)
2016-04-26 04:00:00,82610.0,87210.54
2016-04-26 05:00:00,80450.0,86532.78
2016-04-26 06:00:00,81670.0,87758.56
2016-04-26 07:00:00,87470.0,92761.43
2016-04-26 08:00:00,95380.0,100447.15
2016-04-26 09:00:00,102170.0,104937.09
2016-04-26 10:00:00,105840.0,106986.04
2016-04-26 11:00:00,107060.0,107618.07
2016-04-26 12:00:00,108050.0,108173.49
2016-04-26 13:00:00,108210.0,108504.8
2016-04-26 14:00:00,107840.0,108058.8
2016-04-26 15:00:00,108290.0,107964.52
2016-04-26 16:00:00,107370.0,108487.59
2016-04-26 17:00:00,106180.0,107796.7
2016-04-26 18:00:00,105520.0,106339.53
2016-04-26 19:00:00,105660.0,104624.87
2016-04-26 20:00:00,105030.0,103486.58
2016-04-26 21:00:00,107430.0,103575.06
2016-04-26 22:00:00,109320.0,104329.26
2016-04-26 23:00:00,105240.0,102820.63
2016-04-27 00:00:00,97350.0,97021.5
2016-04-27 01:00:00,90440.0,90964.81
2016-04-27 02:00:00,86040.0,85939.516
2016-04-27 03:00:00,83450.0,82996.93
2016-04-27 04:00:00,81820.0,81676.32
2016-04-27 05:00:00,81600.0,81879.94
2016-04-27 06:00:00,83920.0,84593.734
2016-04-27 07:00:00,90990.0,90046.3
2016-04-27 08:00:00,99890.0,98705.44
2016-04-27 09:00:00,106810.0,104435.12
2016-04-27 10:00:00,109590.0,107903.41
2016-04-27 11:00:00,110870.0,109861.7
2016-04-27 12:00:00,111960.0,111818.46
2016-04-27 13:00:00,111460.0,112870.38
2016-04-27 14:00:00,110990.0,112419.234
2016-04-27 15:00:00,110930.0,111553.83
2016-04-27 16:00:00,110530.0,110978.57
2016-04-27 17:00:00,110710.0,110053.336
2016-04-27 18:00:00,110460.0,109843.62
2016-04-27 19:00:00,110920.0,108868.16
2016-04-27 20:00:00,110500.0,109271.02
2016-04-27 21:00:00,111240.0,110300.18
2016-04-27 22:00:00,111870.0,110755.16
2016-04-27 23:00:00,107300.0,107856.68
2016-04-28 00:00:00,99440.0,99961.16
2016-04-28 01:00:00,92360.0,92009.89
2016-04-28 02:00:00,87880.0,87971.766
2016-04-28 03:00:00,85590.0,85611.29
2016-04-28 04:00:00,84040.0,84629.52
2016-04-28 05:00:00,83840.0,84517.8
2016-04-28 06:00:00,86410.0,86683.79
2016-04-28 07:00:00,92960.0,92060.64
2016-04-28 08:00:00,101600.0,100814.12
2016-04-28 09:00:00,107870.0,106310.76
2016-04-28 10:00:00,110950.0,109404.11
2016-04-28 11:00:00,111970.0,111371.05
2016-04-28 12:00:00,112490.0,112567.15
2016-04-28 13:00:00,112120.0,113238.78
2016-04-28 14:00:00,111100.0,113145.25
2016-04-28 15:00:00,110570.0,112067.63
2016-04-28 16:00:00,109410.0,110073.664
2016-04-28 17:00:00,107710.0,109241.74
2016-04-28 18:00:00,106870.0,107693.63
2016-04-28 19:00:00,106320.0,106149.79
2016-04-28 20:00:00,105660.0,105430.54
2016-04-28 21:00:00,108180.0,106086.484
2016-04-28 22:00:00,109850.0,107272.2
2016-04-28 23:00:00,105760.0,105387.13
2016-04-29 00:00:00,98740.0,98273.92
2016-04-29 01:00:00,91890.0,91371.25
2016-04-29 02:00:00,87060.0,87002.03
2016-04-29 03:00:00,84270.0,84749.19
2016-04-29 04:00:00,82670.0,83457.25
2016-04-29 05:00:00,82340.0,83384.99
2016-04-29 06:00:00,84570.0,85020.57
2016-04-29 07:00:00,90520.0,89795.11
2016-04-29 08:00:00,99290.0,97421.484
2016-04-29 09:00:00,106690.0,102842.02
